id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,temporal,0,457,3,dia,15,0,1,vbr,1,high,0.7214316074693485,41,4,92,7,80,0,2,0,1,1,5.35
1380,1,p4x4,2,1.5353135498342363,0,2,0,-11,38.687654164818326,5:-5,temporal,0,457,3,umh,15,0,1,none,1,high,0.7214316074693485,35,3,195,2,6,0,51,2,0,1,5.19
1320,0,p4x4,2,1.8245416022471044,0,2,0,4,38.687654164818326,5:-5,spatial,1,435,3,hex,15,1,1,none,1,main,0.7214316074693485,48,3,65,2,6,0,40,2,0,2,14.33
1436,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,esa,14,1,1,none,1,high,0.2626474958660849,48,3,195,2,6,0,51,2,0,2,2.11
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,48,1,1,none,1,high,0.7214316074693485,44,4,92,13,80,0,2,2,1,1,1.55
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,1,435,3,umh,14,1,1,none,1,high,0.7214316074693485,35,3,195,9,3,0,63,2,0,2,6.22
1320,1,"p8x8,b8x8,i8x8,i4x4",3,1.8245416022471044,0,2,1,2,38.687654164818326,-2:2,temporal,0,435,1,dia,63,0,1,none,1,high,0.7214316074693485,48,3,195,2,6,0,51,2,0,2,57.93
435,0,p4x4,2,1.8245416022471044,0,2,0,0,38.687654164818326,2:-2,spatial,1,350,3,tesa,14,1,1,none,1,high,0.7214316074693485,48,3,195,2,6,0,51,2,0,2,25.33
1320,1,"p8x8,b8x8,i8x8,i4x4",2,1.8245416022471044,0,2,1,-11,38.687654164818326,5:-5,spatial,0,435,3,dia,15,1,1,none,1,baseline,0.9186832708873856,48,3,195,7,76,0,49,2,1,1,2.65
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,none,0,457,4,dia,26,0,1,none,1,baseline,0.7214316074693485,31,4,92,2,80,0,2,2,1,1,1.55
1320,1,p4x4,2,1.819922213644557,0,13,0,-11,38.687654164818326,2:-2,temporal,0,74,1,umh,15,0,0,none,1,main,0.7214316074693485,41,4,92,2,80,0,2,2,1,2,3.26
1320,0,p4x4,2,1.8245416022471044,0,7,0,-11,38.687654164818326,-4:4,spatial,0,435,1,esa,15,1,1,none,1,main,0.6027288767398988,48,3,195,2,6,1,51,2,1,2,28.79
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,0,esa,15,1,1,none,1,high,0.595637840609091,48,3,195,2,6,0,51,2,0,0,5.84
1320,1,p4x4,2,1.2732014738287774,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,hex,15,1,1,vbr,1,high,0.7214316074693485,48,3,195,2,6,0,51,2,0,2,1.55
1320,1,p4x4,1,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,hex,15,1,1,cbr,1,high,0.7214316074693485,48,3,195,2,38,0,51,1,0,2,1.55
2191,0,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,hex,15,1,1,none,1,high,0.7214316074693485,48,19,195,2,6,7,51,2,0,2,14.33
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,435,3,esa,14,1,1,none,0,high,0.7214316074693485,48,3,195,2,6,0,51,2,0,2,5.52
435,0,p4x4,2,0.3090506641144154,0,10,0,-11,38.687654164818326,5:-5,spatial,0,435,3,tesa,14,1,1,none,0,high,0.7214316074693485,48,3,195,2,76,7,51,2,0,1,1.55
435,1,p4x4,2,1.8245416022471044,0,6,0,-11,38.687654164818326,5:-5,spatial,0,261,3,tesa,7,1,1,none,1,high,0.102853194060051,48,3,195,9,76,7,51,0,1,1,1.55
1320,1,p4x4,2,1.8245416022471044,0,2,1,-11,38.687654164818326,5:-5,spatial,0,457,3,dia,15,0,1,none,0,high,0.7214316074693485,35,3,195,2,6,0,51,2,0,1,4.29
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,48,1,1,none,1,high,0.7214316074693485,25,4,92,13,80,0,2,2,0,2,1.55
1320,1,p4x4,3,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,48,0,0,none,1,high,0.7214316074693485,44,4,101,2,80,5,2,2,1,1,4.85
1436,1,p4x4,2,1.8245416022471044,0,1,0,-11,38.687654164818326,5:-5,spatial,0,74,2,dia,60,0,1,none,1,high,0.7214316074693485,44,4,92,13,80,0,2,2,1,1,1.55
1320,1,p4x4,2,1.819922213644557,0,2,1,-11,38.687654164818326,5:-5,none,0,74,4,dia,15,1,1,none,1,high,0.7214316074693485,41,4,92,2,93,0,2,2,0,1,3.23
435,0,p4x4,2,1.8245416022471044,0,2,0,-8,48.75732026276623,5:-5,spatial,0,435,3,umh,14,1,1,none,0,high,0.7214316074693485,48,3,195,2,76,0,51,0,1,1,1.55
1320,1,p4x4,2,1.401762572048965,0,2,0,-11,38.687654164818326,5:-5,none,0,457,4,dia,26,0,1,none,1,baseline,0.7214316074693485,31,4,92,2,80,0,2,2,0,1,41.62
1320,1,p4x4,2,0.8520082716211679,0,13,0,-11,38.687654164818326,5:-5,spatial,0,291,4,dia,36,0,1,none,1,baseline,0.3893595146810589,31,12,92,2,80,0,2,2,0,0,13.89
1320,1,p8x8,2,1.819922213644557,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,15,1,1,none,1,high,0.7214316074693485,44,4,92,2,80,0,44,2,1,1,1.55
1436,1,none,2,1.842050410128074,0,2,0,-11,38.687654164818326,2:2,auto,0,74,4,dia,15,1,1,none,1,baseline,0.7214316074693485,41,4,92,2,80,0,2,2,1,1,4.29
1320,1,p4x4,0,1.819922213644557,2,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,15,1,1,none,1,high,0.7214316074693485,41,4,92,2,67,0,2,0,1,2,1.55
1320,0,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,457,1,umh,15,0,0,none,1,main,0.7214316074693485,41,4,92,2,80,0,2,1,1,1,5.12
435,1,p4x4,2,1.8245416022471044,0,6,0,-11,38.687654164818326,6:-6,spatial,0,261,3,tesa,7,1,0,cbr,1,high,0.102853194060051,48,3,195,9,48,7,21,0,0,2,18.99
1320,1,p4x4,2,1.8245416022471044,0,14,0,-11,38.687654164818326,5:-5,spatial,0,435,3,esa,14,1,1,none,1,high,0.7214316074693485,48,3,195,2,6,0,51,2,1,2,1.55
1320,1,p4x4,2,1.0582511057644648,0,2,0,-11,38.687654164818326,5:-5,spatial,0,457,1,umh,15,1,1,none,1,high,0.7214316074693485,41,4,92,2,80,0,2,2,1,2,1.55
1320,1,p4x4,2,1.8245416022471044,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,48,1,1,none,1,high,0.6600674791983947,44,4,92,13,80,0,6,2,1,1,1.55
1320,1,p4x4,0,1.819922213644557,0,2,0,-11,38.687654164818326,5:-5,spatial,0,74,4,dia,7,1,1,none,0,high,0.7214316074693485,48,3,195,2,6,0,51,2,0,2,15.38
