config_id,workload,time,max-resident-set-size
10,sd_crew_cif_short.y4m,0.28,23344
10,sd_city_4cif_short.y4m,1.41,81036
10,sintel_trailer_2k_720p24_short.y4m,0.43,126700
10,Johnny_1280x720_60_short.y4m,2.15,192768
10,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,8.25,752828
10,blue_sky_1080p25_short.y4m,3,251572
10,sd_bridge_close_cif_short.y4m,0.18,23108
10,riverbed_1080p25_short.y4m,8.18,251796
11,sd_city_4cif_short.y4m,1.34,81000
11,pedestrian_area_1080p25_short.y4m,3.59,252520
11,sd_crew_cif_short.y4m,0.27,23296
11,Johnny_1280x720_60_short.y4m,1.96,194800
11,sintel_trailer_2k_720p24_short.y4m,0.36,126652
11,sd_bridge_close_cif_short.y4m,0.16,23060
11,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.5,754480
11,blue_sky_1080p25_short.y4m,2.74,250988
11,riverbed_1080p25_short.y4m,7.68,250988
12,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.61,755940
12,sd_crew_cif_short.y4m,0.27,23344
12,pedestrian_area_1080p25_short.y4m,3.64,252572
12,sd_bridge_close_cif_short.y4m,0.16,23104
12,sd_city_4cif_short.y4m,1.33,81036
12,riverbed_1080p25_short.y4m,7.85,250772
12,sintel_trailer_2k_720p24_short.y4m,0.4,126960
12,blue_sky_1080p25_short.y4m,2.82,251576
12,Johnny_1280x720_60_short.y4m,1.95,196724
13,pedestrian_area_1080p25_short.y4m,3.42,250772
13,sintel_trailer_2k_720p24_short.y4m,0.37,127840
13,sd_city_4cif_short.y4m,1.28,81036
13,sd_crew_cif_short.y4m,0.25,23340
13,blue_sky_1080p25_short.y4m,2.77,251036
13,riverbed_1080p25_short.y4m,6.97,251040
13,Johnny_1280x720_60_short.y4m,1.91,193704
13,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.39,755320
13,sd_bridge_close_cif_short.y4m,0.16,23104
14,pedestrian_area_1080p25_short.y4m,3.42,251844
14,Johnny_1280x720_60_short.y4m,1.71,192764
14,sd_city_4cif_short.y4m,1.19,81040
14,sd_crew_cif_short.y4m,0.26,23340
14,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.99,753280
14,blue_sky_1080p25_short.y4m,2.52,251844
14,riverbed_1080p25_short.y4m,7.67,252572
14,sintel_trailer_2k_720p24_short.y4m,0.38,127220
14,sd_bridge_close_cif_short.y4m,0.14,23108
15,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.86,755320
15,sd_crew_cif_short.y4m,0.28,23344
15,pedestrian_area_1080p25_short.y4m,3.78,252568
15,sd_bridge_close_cif_short.y4m,0.17,23108
15,riverbed_1080p25_short.y4m,8.2,252572
15,sintel_trailer_2k_720p24_short.y4m,0.4,126832
15,sd_city_4cif_short.y4m,1.38,81036
15,blue_sky_1080p25_short.y4m,2.89,251580
15,Johnny_1280x720_60_short.y4m,1.98,194664
16,riverbed_1080p25_short.y4m,7.88,111088
16,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,9.74,407084
16,sd_bridge_close_cif_short.y4m,0.18,10680
16,Johnny_1280x720_60_short.y4m,2.69,56948
16,sd_crew_cif_short.y4m,0.27,10888
16,blue_sky_1080p25_short.y4m,3.63,111876
16,sintel_trailer_2k_720p24_short.y4m,0.47,58308
16,sd_city_4cif_short.y4m,1.31,27188
16,pedestrian_area_1080p25_short.y4m,4.02,111884
17,sd_city_4cif_short.y4m,1.38,81036
17,riverbed_1080p25_short.y4m,8.22,251580
17,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.9,753276
17,sd_bridge_close_cif_short.y4m,0.18,23108
17,sintel_trailer_2k_720p24_short.y4m,0.41,126704
17,blue_sky_1080p25_short.y4m,2.89,250772
17,pedestrian_area_1080p25_short.y4m,3.8,251844
17,sd_crew_cif_short.y4m,0.28,23340
17,Johnny_1280x720_60_short.y4m,2.02,194732
18,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.84,754528
18,blue_sky_1080p25_short.y4m,2.9,250768
18,sintel_trailer_2k_720p24_short.y4m,0.4,127224
18,sd_crew_cif_short.y4m,0.28,23340
18,pedestrian_area_1080p25_short.y4m,3.8,250768
18,riverbed_1080p25_short.y4m,8.19,250772
18,sd_bridge_close_cif_short.y4m,0.17,23104
18,sd_city_4cif_short.y4m,1.38,79416
18,Johnny_1280x720_60_short.y4m,1.98,194688
19,sd_crew_cif_short.y4m,0.18,22512
19,blue_sky_1080p25_short.y4m,1.73,271208
19,Johnny_1280x720_60_short.y4m,1.17,217348
19,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.82,815860
19,sd_bridge_close_cif_short.y4m,0.12,22400
19,sd_city_4cif_short.y4m,0.83,86604
19,riverbed_1080p25_short.y4m,4.52,269332
19,pedestrian_area_1080p25_short.y4m,2.23,266404
19,sintel_trailer_2k_720p24_short.y4m,0.29,136120
20,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,752824
20,sd_city_4cif_short.y4m,1.38,81040
20,riverbed_1080p25_short.y4m,8.2,252512
20,sd_crew_cif_short.y4m,0.28,23340
20,pedestrian_area_1080p25_short.y4m,3.8,251580
20,sd_bridge_close_cif_short.y4m,0.17,23104
20,sintel_trailer_2k_720p24_short.y4m,0.4,127224
20,blue_sky_1080p25_short.y4m,2.9,251844
20,Johnny_1280x720_60_short.y4m,1.98,194768
21,sd_bridge_close_cif_short.y4m,0.12,22320
21,sintel_trailer_2k_720p24_short.y4m,0.29,136772
21,sd_city_4cif_short.y4m,0.84,86604
21,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,5,813852
21,blue_sky_1080p25_short.y4m,1.76,269320
21,riverbed_1080p25_short.y4m,4.68,267780
21,Johnny_1280x720_60_short.y4m,1.19,218392
21,sd_crew_cif_short.y4m,0.18,22512
21,pedestrian_area_1080p25_short.y4m,2.3,266688
22,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,94.39,753096
22,riverbed_1080p25_short.y4m,83.82,253656
22,blue_sky_1080p25_short.y4m,34.1,251396
22,sintel_trailer_2k_720p24_short.y4m,4.23,126520
22,sd_city_4cif_short.y4m,16.53,82828
22,sd_bridge_close_cif_short.y4m,1.8,22500
22,pedestrian_area_1080p25_short.y4m,42.21,252328
22,Johnny_1280x720_60_short.y4m,25.22,194496
22,sd_crew_cif_short.y4m,3.09,22736
23,sd_city_4cif_short.y4m,1.38,81032
23,riverbed_1080p25_short.y4m,8.14,252572
23,sintel_trailer_2k_720p24_short.y4m,0.41,126832
23,pedestrian_area_1080p25_short.y4m,3.76,251796
23,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,754532
23,blue_sky_1080p25_short.y4m,2.88,251580
23,sd_crew_cif_short.y4m,0.28,23340
23,sd_bridge_close_cif_short.y4m,0.17,23108
23,Johnny_1280x720_60_short.y4m,1.98,194360
24,riverbed_1080p25_short.y4m,8.14,251036
24,sintel_trailer_2k_720p24_short.y4m,0.4,127224
24,Johnny_1280x720_60_short.y4m,1.98,194732
24,pedestrian_area_1080p25_short.y4m,3.79,251800
24,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,753284
24,sd_city_4cif_short.y4m,1.38,81032
24,sd_crew_cif_short.y4m,0.28,23344
24,sd_bridge_close_cif_short.y4m,0.17,23104
24,blue_sky_1080p25_short.y4m,2.89,251580
25,sd_bridge_close_cif_short.y4m,0.17,23112
25,sd_city_4cif_short.y4m,1.38,81036
25,pedestrian_area_1080p25_short.y4m,3.79,251032
25,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.89,753276
25,riverbed_1080p25_short.y4m,8.2,251036
25,blue_sky_1080p25_short.y4m,2.92,250772
25,sintel_trailer_2k_720p24_short.y4m,0.4,128288
25,Johnny_1280x720_60_short.y4m,2,193708
25,sd_crew_cif_short.y4m,0.28,23344
26,sintel_trailer_2k_720p24_short.y4m,0.41,127224
26,pedestrian_area_1080p25_short.y4m,3.79,251036
26,blue_sky_1080p25_short.y4m,2.89,251840
26,riverbed_1080p25_short.y4m,8.14,252508
26,sd_crew_cif_short.y4m,0.28,23344
26,sd_city_4cif_short.y4m,1.38,81032
26,Johnny_1280x720_60_short.y4m,1.99,195724
26,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,755788
26,sd_bridge_close_cif_short.y4m,0.17,23104
27,blue_sky_1080p25_short.y4m,11.27,223760
27,sd_crew_cif_short.y4m,1.04,15304
27,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,31.85,807708
27,sintel_trailer_2k_720p24_short.y4m,1.98,120976
27,sd_city_4cif_short.y4m,4.84,58152
27,riverbed_1080p25_short.y4m,27.69,223928
27,pedestrian_area_1080p25_short.y4m,14.06,222176
27,Johnny_1280x720_60_short.y4m,8.61,121512
27,sd_bridge_close_cif_short.y4m,0.67,15392
28,sd_bridge_close_cif_short.y4m,0.68,15392
28,riverbed_1080p25_short.y4m,27.65,223916
28,sintel_trailer_2k_720p24_short.y4m,1.99,120228
28,blue_sky_1080p25_short.y4m,11.3,225892
28,Johnny_1280x720_60_short.y4m,8.62,120984
28,sd_crew_cif_short.y4m,1.04,15304
28,pedestrian_area_1080p25_short.y4m,14.15,225920
28,sd_city_4cif_short.y4m,4.84,59404
28,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.06,809808
29,sintel_trailer_2k_720p24_short.y4m,2.53,127304
29,riverbed_1080p25_short.y4m,30.78,248660
29,pedestrian_area_1080p25_short.y4m,16.94,248540
29,sd_crew_cif_short.y4m,1.18,16760
29,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,41.42,897992
29,sd_bridge_close_cif_short.y4m,0.81,16912
29,blue_sky_1080p25_short.y4m,13.89,250432
29,Johnny_1280x720_60_short.y4m,11.09,132356
29,sd_city_4cif_short.y4m,6.25,64304
30,sd_crew_cif_short.y4m,1.04,15304
30,riverbed_1080p25_short.y4m,27.64,227636
30,Johnny_1280x720_60_short.y4m,8.64,119616
30,pedestrian_area_1080p25_short.y4m,14.43,222124
30,sd_bridge_close_cif_short.y4m,0.68,15392
30,sd_city_4cif_short.y4m,4.84,59156
30,sintel_trailer_2k_720p24_short.y4m,1.98,120232
30,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.27,807040
30,blue_sky_1080p25_short.y4m,11.46,223988
31,blue_sky_1080p25_short.y4m,11.76,226360
31,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,33.82,809936
31,sd_city_4cif_short.y4m,5.07,58256
31,riverbed_1080p25_short.y4m,27.59,226360
31,sintel_trailer_2k_720p24_short.y4m,1.98,121340
31,sd_crew_cif_short.y4m,1.03,15408
31,Johnny_1280x720_60_short.y4m,9.05,115168
31,sd_bridge_close_cif_short.y4m,0.67,15432
31,pedestrian_area_1080p25_short.y4m,14.37,224392
32,sd_city_4cif_short.y4m,4.84,59252
32,riverbed_1080p25_short.y4m,26.71,225856
32,pedestrian_area_1080p25_short.y4m,14.02,222180
32,sintel_trailer_2k_720p24_short.y4m,1.99,121012
32,sd_bridge_close_cif_short.y4m,0.67,15392
32,Johnny_1280x720_60_short.y4m,8.49,120548
32,sd_crew_cif_short.y4m,1.02,15304
32,blue_sky_1080p25_short.y4m,11.34,223936
32,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,31.46,807412
33,blue_sky_1080p25_short.y4m,11.44,225876
33,sd_crew_cif_short.y4m,1.04,15304
33,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.34,804028
33,riverbed_1080p25_short.y4m,27.64,225716
33,sd_bridge_close_cif_short.y4m,0.68,15392
33,pedestrian_area_1080p25_short.y4m,14.35,225804
33,sintel_trailer_2k_720p24_short.y4m,1.97,122236
33,sd_city_4cif_short.y4m,4.89,58212
33,Johnny_1280x720_60_short.y4m,8.65,120568
34,sd_bridge_close_cif_short.y4m,0.67,15432
34,sd_crew_cif_short.y4m,1.05,15716
34,riverbed_1080p25_short.y4m,27.66,225832
34,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.36,809768
34,pedestrian_area_1080p25_short.y4m,14.32,223932
34,sd_city_4cif_short.y4m,4.88,58680
34,blue_sky_1080p25_short.y4m,11.44,225892
34,sintel_trailer_2k_720p24_short.y4m,1.97,120796
34,Johnny_1280x720_60_short.y4m,8.63,121660
35,sintel_trailer_2k_720p24_short.y4m,1.91,120680
35,riverbed_1080p25_short.y4m,27.82,223932
35,sd_city_4cif_short.y4m,4.91,55460
35,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,33.71,807544
35,sd_crew_cif_short.y4m,1.09,15304
35,blue_sky_1080p25_short.y4m,11.57,223928
35,pedestrian_area_1080p25_short.y4m,14.88,226224
35,sd_bridge_close_cif_short.y4m,0.7,15392
35,Johnny_1280x720_60_short.y4m,8.48,115024
36,pedestrian_area_1080p25_short.y4m,14.36,223928
36,sd_bridge_close_cif_short.y4m,0.66,15392
36,blue_sky_1080p25_short.y4m,11.43,223980
36,sd_city_4cif_short.y4m,4.99,59896
36,riverbed_1080p25_short.y4m,27.66,225940
36,Johnny_1280x720_60_short.y4m,8.75,122056
36,sintel_trailer_2k_720p24_short.y4m,1.96,120192
36,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.05,804272
36,sd_crew_cif_short.y4m,1.05,15304
37,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,34.26,805336
37,sd_crew_cif_short.y4m,1.09,15352
37,sintel_trailer_2k_720p24_short.y4m,2.09,120336
37,sd_city_4cif_short.y4m,4.93,59196
37,Johnny_1280x720_60_short.y4m,8.82,115832
37,blue_sky_1080p25_short.y4m,11.88,226020
37,riverbed_1080p25_short.y4m,29.88,225872
37,pedestrian_area_1080p25_short.y4m,14.89,223988
37,sd_bridge_close_cif_short.y4m,0.72,15440
38,Johnny_1280x720_60_short.y4m,8.77,113768
38,pedestrian_area_1080p25_short.y4m,14.53,223924
38,sintel_trailer_2k_720p24_short.y4m,2.02,121508
38,riverbed_1080p25_short.y4m,27.74,225744
38,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,34.22,809744
38,blue_sky_1080p25_short.y4m,11.67,223940
38,sd_city_4cif_short.y4m,4.91,57496
38,sd_bridge_close_cif_short.y4m,0.72,15564
38,sd_crew_cif_short.y4m,1.08,15300
39,sd_bridge_close_cif_short.y4m,0.67,15392
39,pedestrian_area_1080p25_short.y4m,14.46,225920
39,Johnny_1280x720_60_short.y4m,8.65,120868
39,sd_city_4cif_short.y4m,4.85,55460
39,blue_sky_1080p25_short.y4m,11.5,225940
39,sd_crew_cif_short.y4m,1.05,15304
39,riverbed_1080p25_short.y4m,27.66,223928
39,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.57,809728
39,sintel_trailer_2k_720p24_short.y4m,1.98,120796
40,sd_city_4cif_short.y4m,5.92,55460
40,riverbed_1080p25_short.y4m,29.58,225984
40,pedestrian_area_1080p25_short.y4m,16.68,223980
40,Johnny_1280x720_60_short.y4m,11.21,112244
40,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,40.67,805624
40,blue_sky_1080p25_short.y4m,14.83,225720
40,sd_bridge_close_cif_short.y4m,0.77,15392
40,sd_crew_cif_short.y4m,1.13,15308
40,sintel_trailer_2k_720p24_short.y4m,2.14,120684
41,sd_bridge_close_cif_short.y4m,0.68,15396
41,sintel_trailer_2k_720p24_short.y4m,1.91,120792
41,sd_city_4cif_short.y4m,4.85,59156
41,blue_sky_1080p25_short.y4m,11.49,223976
41,pedestrian_area_1080p25_short.y4m,14.51,225836
41,Johnny_1280x720_60_short.y4m,8.65,120992
41,sd_crew_cif_short.y4m,1.05,15300
41,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.3,805324
41,riverbed_1080p25_short.y4m,27.66,225888
42,sintel_trailer_2k_720p24_short.y4m,2.5,200192
42,blue_sky_1080p25_short.y4m,14.05,395604
42,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,39.72,1102736
42,sd_bridge_close_cif_short.y4m,0.79,25080
42,Johnny_1280x720_60_short.y4m,10.49,327072
42,riverbed_1080p25_short.y4m,33.23,401392
42,sd_crew_cif_short.y4m,1.27,25184
42,sd_city_4cif_short.y4m,6.06,158740
42,pedestrian_area_1080p25_short.y4m,17.12,397552
43,Johnny_1280x720_60_short.y4m,8.7,120736
43,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,31.89,805560
43,sd_bridge_close_cif_short.y4m,0.64,15392
43,sd_crew_cif_short.y4m,1.03,15808
43,blue_sky_1080p25_short.y4m,11.47,223892
43,sintel_trailer_2k_720p24_short.y4m,1.97,120648
43,pedestrian_area_1080p25_short.y4m,14.43,223928
43,sd_city_4cif_short.y4m,5.02,60692
43,riverbed_1080p25_short.y4m,27.64,225836
44,sintel_trailer_2k_720p24_short.y4m,1.97,121112
44,sd_crew_cif_short.y4m,1.04,15300
44,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.41,807568
44,sd_city_4cif_short.y4m,4.9,58680
44,blue_sky_1080p25_short.y4m,11.51,225852
44,Johnny_1280x720_60_short.y4m,8.64,122500
44,riverbed_1080p25_short.y4m,27.65,227648
44,pedestrian_area_1080p25_short.y4m,14.36,222028
44,sd_bridge_close_cif_short.y4m,0.67,15392
45,riverbed_1080p25_short.y4m,52.18,157080
45,Johnny_1280x720_60_short.y4m,19.36,83428
45,pedestrian_area_1080p25_short.y4m,28.13,157072
45,sintel_trailer_2k_720p24_short.y4m,3.72,80864
45,blue_sky_1080p25_short.y4m,23.77,157088
45,sd_city_4cif_short.y4m,10.44,41452
45,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,66.35,574108
45,sd_crew_cif_short.y4m,1.91,13052
45,sd_bridge_close_cif_short.y4m,1.15,13072
46,riverbed_1080p25_short.y4m,27.65,225768
46,sd_bridge_close_cif_short.y4m,0.67,15396
46,sintel_trailer_2k_720p24_short.y4m,1.98,120232
46,Johnny_1280x720_60_short.y4m,8.63,122284
46,sd_crew_cif_short.y4m,1.03,15304
46,pedestrian_area_1080p25_short.y4m,14.15,225852
46,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.22,807580
46,blue_sky_1080p25_short.y4m,11.39,225892
46,sd_city_4cif_short.y4m,4.86,59152
47,sintel_trailer_2k_720p24_short.y4m,1.97,121752
47,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.22,807720
47,Johnny_1280x720_60_short.y4m,8.65,120860
47,sd_crew_cif_short.y4m,1.04,15304
47,blue_sky_1080p25_short.y4m,11.47,225872
47,pedestrian_area_1080p25_short.y4m,14.49,223928
47,sd_bridge_close_cif_short.y4m,0.67,15392
47,riverbed_1080p25_short.y4m,27.67,225924
47,sd_city_4cif_short.y4m,4.85,58144
48,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,3.18,807596
48,Johnny_1280x720_60_short.y4m,0.82,114948
48,sd_city_4cif_short.y4m,0.5,58392
48,sd_crew_cif_short.y4m,0.13,15540
48,pedestrian_area_1080p25_short.y4m,1.39,226076
48,riverbed_1080p25_short.y4m,3,226096
48,blue_sky_1080p25_short.y4m,1.14,226140
48,sintel_trailer_2k_720p24_short.y4m,0.24,122504
48,sd_bridge_close_cif_short.y4m,0.11,15628
49,blue_sky_1080p25_short.y4m,11.31,222072
49,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.27,809220
49,riverbed_1080p25_short.y4m,27.64,224032
49,Johnny_1280x720_60_short.y4m,8.66,119780
49,sintel_trailer_2k_720p24_short.y4m,2,120172
49,sd_bridge_close_cif_short.y4m,0.67,15212
49,pedestrian_area_1080p25_short.y4m,14.3,224032
49,sd_city_4cif_short.y4m,4.86,58260
49,sd_crew_cif_short.y4m,1.04,15400
50,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.42,805328
50,sd_city_4cif_short.y4m,4.88,59600
50,riverbed_1080p25_short.y4m,27.65,225848
50,pedestrian_area_1080p25_short.y4m,14.43,223936
50,sintel_trailer_2k_720p24_short.y4m,1.98,122108
50,sd_crew_cif_short.y4m,1.05,15304
50,sd_bridge_close_cif_short.y4m,0.68,15392
50,blue_sky_1080p25_short.y4m,11.45,223932
50,Johnny_1280x720_60_short.y4m,8.65,119892
51,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.28,807740
51,sd_city_4cif_short.y4m,4.9,59084
51,blue_sky_1080p25_short.y4m,11.47,225876
51,Johnny_1280x720_60_short.y4m,8.65,119944
51,sd_crew_cif_short.y4m,1.04,15308
51,sd_bridge_close_cif_short.y4m,0.67,15392
51,riverbed_1080p25_short.y4m,27.64,225764
51,sintel_trailer_2k_720p24_short.y4m,1.97,119024
51,pedestrian_area_1080p25_short.y4m,14.35,223940
52,sd_city_4cif_short.y4m,4.87,58148
52,sd_bridge_close_cif_short.y4m,0.67,15392
52,sd_crew_cif_short.y4m,1.04,15304
52,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.29,805332
52,Johnny_1280x720_60_short.y4m,8.63,119612
52,blue_sky_1080p25_short.y4m,11.47,223932
52,riverbed_1080p25_short.y4m,27.65,227976
52,sintel_trailer_2k_720p24_short.y4m,1.97,120192
52,pedestrian_area_1080p25_short.y4m,14.38,224100
53,sd_city_4cif_short.y4m,1.38,81036
53,blue_sky_1080p25_short.y4m,2.9,251580
53,sd_bridge_close_cif_short.y4m,0.17,23104
53,Johnny_1280x720_60_short.y4m,1.99,195764
53,riverbed_1080p25_short.y4m,8.16,251696
53,sintel_trailer_2k_720p24_short.y4m,0.4,126960
53,pedestrian_area_1080p25_short.y4m,3.79,251796
53,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.84,753280
53,sd_crew_cif_short.y4m,0.28,23340
54,sd_crew_cif_short.y4m,0.23,22392
54,sd_city_4cif_short.y4m,1.17,80180
54,pedestrian_area_1080p25_short.y4m,3.16,238000
54,blue_sky_1080p25_short.y4m,2.54,237996
54,sintel_trailer_2k_720p24_short.y4m,0.35,119732
54,sd_bridge_close_cif_short.y4m,0.15,22164
54,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.63,702636
54,Johnny_1280x720_60_short.y4m,1.71,190464
54,riverbed_1080p25_short.y4m,6.65,238264
55,Johnny_1280x720_60_short.y4m,1.98,194648
55,blue_sky_1080p25_short.y4m,2.91,251580
55,pedestrian_area_1080p25_short.y4m,3.77,251576
55,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.86,754532
55,sd_bridge_close_cif_short.y4m,0.17,23108
55,sintel_trailer_2k_720p24_short.y4m,0.4,128292
55,sd_crew_cif_short.y4m,0.28,23340
55,sd_city_4cif_short.y4m,1.38,81036
55,riverbed_1080p25_short.y4m,8.15,252568
