sendfile,1,select,0,1,0,0,0,1,2,2,41964,11751,8546,33180,16590,31832,1389,16753,17017,47966,0,40227,1,60198,0,1,0,1,191,13887.46
write,1,linux-sysepoll,1,0,1,0,1,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,0,40682,0,1,0,0,169,69795.4
write,1,linux-sysepoll,1,0,1,0,1,0,1,1,1408,16766,19486,7464,991,52874,9077,33452,27442,36797,7,24637,1,64299,1,0,1,1,2053,68886.56
writev,1,linux-sysepoll,0,0,1,1,0,1,1,0,33479,23683,5842,8469,19127,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,1,0,447,13170.84
writev,0,linux-sysepoll,0,0,1,1,0,0,1,1,27222,23683,5842,7464,991,52874,9077,33452,27442,36797,7,24637,1,64299,1,0,1,1,172,67641.8
writev,0,select,1,0,1,0,0,0,2,0,1368,37619,14411,40293,20146,62383,43187,4653,16889,63422,12,4498,1,17823,1,0,1,0,343,11643.72
write,1,libev,1,0,1,1,1,0,1,1,42832,38725,23577,16244,13270,41430,5254,56542,65236,37852,11,260,1,60516,1,1,0,0,1387,71772.02
sendfile,1,poll,1,0,1,0,1,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,1,191,69795.4
sendfile,1,linux-sysepoll,0,0,1,0,0,0,2,0,45487,56810,35505,57123,28561,35297,36189,16126,13770,57832,1,26242,1,58878,1,0,0,0,1223,64988.16
sendfile,1,libev,0,1,1,0,1,0,1,1,43090,20717,14955,20031,14740,38267,24676,59711,32275,64987,12,16675,1,11106,1,0,0,0,192,66778.0
write,1,poll,1,1,1,1,1,1,2,1,46322,33727,874,54886,18196,3909,37976,64953,15222,23970,1,40020,1,40297,0,0,0,0,1127,22835.0
write,1,linux-sysepoll,1,1,1,1,1,1,2,0,46322,33727,874,54886,18196,3909,37976,64953,12244,23970,1,32718,1,40297,1,1,0,0,138,51094.86
writev,1,select,1,0,1,1,0,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,1,191,69795.4
