cfg_1,cfg_2,cfg_3,cfg_4,cfg_5,cfg_6,cfg_7,cfg_8,cfg_9,cfg_10,cfg_11,cfg_12,cfg_13,cfg_14,cfg_15,cfg_16,cfg_17,cfg_18,cfg_19,cfg_20,throughput
594,430416956,2464,864410533,38058854,1071139858,79667,423410052,2,53,14342480105,20043,997161536,93,38986055,full,1871,7799262,43,605545,310.52
232,209133040,2690,864410533,38058854,554252937,42283,423410052,2,85,12088351427,15770,815218911,25,23709344,noblob,1871,7799262,43,488724,298.49
594,430416956,2672,177566369,38058854,1071139858,77631,494913697,1,53,14342480105,15412,1673484190,67,32360381,full,6577,7799262,86,605545,265.76
722,430416956,2749,864410533,82584035,686742256,77631,742515549,1,53,13712737319,3652,2512941026,93,47632799,full,6342,52760939,30,620331,259.57
952,722680245,2690,562880380,27141716,1071139858,39165,423410052,2,53,14342480105,22894,997161536,93,38986055,full,1871,16364402,22,605545,296.61
594,722680245,2678,864410533,38058854,592694769,58104,550715003,1,53,11634036758,15770,997161536,118,33025185,noblob,6551,7799262,57,605545,259.59
594,908474474,2963,864410533,93501173,423520443,77631,423410052,2,53,12288210322,1160,997161536,106,38986055,full,1871,7799262,19,839187,300.66
594,430416956,2690,864410533,38058854,1071139858,77631,423410052,2,53,14342480105,15412,997161536,93,38986055,full,1871,7799262,36,724318,305.34
594,430416956,2553,864410533,10337695,1071139858,77631,423410052,2,53,15369614997,15412,997161536,86,38986055,full,1871,7799262,43,488724,306.21
594,669445715,2827,864410533,38058854,747330150,77631,423410052,2,53,14342480105,15412,997161536,100,38986055,full,1871,7799262,31,722366,303.66
952,430416956,2690,864410533,27141716,1071139858,39165,423410052,2,53,14342480105,22894,997161536,93,38986055,full,1871,7799262,22,605545,296.61
594,244622726,3696,864410533,38058854,279709613,77631,423410052,2,38,14342480105,15412,997161536,47,38986055,full,7456,7799262,43,714973,292.14
594,244622726,3627,864410533,15796264,1071139858,30420,423410052,2,60,14342480105,15412,1350696711,93,24391771,minimal,5116,7799262,2,598152,292.47
310,979453848,2690,864410533,38058854,419579828,77631,853839239,1,53,15218786339,4288,997161536,64,46316521,noblob,1871,114991521,80,605545,257.41
594,351091787,2690,864410533,60338224,1071139858,37898,423410052,2,46,13140085778,27276,997161536,93,39012714,full,1871,7799262,62,503510,300.08
592,430416956,2642,562880380,44635749,125104145,77631,423410052,2,53,14342480105,25391,997161536,127,31708907,minimal,5906,60852804,43,554527,291.25
594,244622726,2690,864410533,38058854,1071139858,77631,423410052,2,53,14342480105,15412,997161536,47,38986055,full,1871,7799262,43,605545,296.6
594,430416956,2690,864410533,38058854,1071139858,77631,423410052,2,53,14342480105,15412,997161536,93,38986055,full,1871,7799262,43,605545,297.23
594,430416956,2666,864410533,38058854,1071139858,77631,423410052,2,53,14342480105,15412,997161536,93,31695578,full,4263,7799262,43,605545,288.55
594,430416956,2553,864410533,10337695,1071139858,77631,423410052,2,53,14342480105,15412,997161536,93,38986055,full,1871,7799262,43,488724,300.39
594,430416956,2690,864410533,38058854,263815697,77631,423410052,2,53,14342480105,18975,997161536,93,37330710,full,1871,7799262,43,605545,303.13
594,430416956,2690,168914573,38058854,1071139858,23232,423410052,2,46,14342480105,21562,2583529588,93,17114622,minimal,1871,41033218,43,605545,300.27
471,908474474,676,864410533,41709086,1071139858,77631,800779907,2,53,14342480105,26604,1745018606,66,33350922,minimal,4058,16862398,43,605545,360.05
471,908474474,676,864410533,43534203,419579828,85676,687909604,2,53,14342480105,26604,1745018606,66,33350922,noblob,2650,21878987,77,605545,364.97
471,908474474,676,864410533,38058854,125104145,30113,687909604,1,54,14342480105,19412,1808464422,66,11094685,minimal,8505,33388900,77,769119,317.54
471,960016572,676,864410533,43534203,419579828,88964,687909604,2,53,15218786339,26604,1745018606,66,37715515,noblob,2650,24506716,77,441971,356.12
409,527716055,676,864410533,43534203,419579828,85676,820159379,2,74,14342480105,1608,1745018606,52,33350922,noblob,700,21878987,77,547135,350.15
471,908474474,26019,864410533,46271877,419579828,85676,860258346,2,53,14342480105,26604,1745018606,66,37070987,noblob,960,23178373,68,605545,253.21
471,946992874,2011,864410533,43534203,419579828,109566,820159379,2,53,14943677268,26268,2118947141,66,33350922,noblob,3040,21878987,77,656563,303.27
471,244622726,2411,864410533,43534203,419579828,85676,687909604,1,53,14342480105,15412,1745018606,93,33350922,noblob,6030,21878987,95,488724,258.99
471,908474474,676,864410533,60338224,1071139858,85676,423410052,2,46,14342480105,27276,997161536,66,39012714,full,2650,21878987,77,503510,354.34
208,498011464,608,864410533,41709086,794439124,85676,491373506,2,53,15300308362,26604,1745018606,63,58316408,minimal,2650,11606942,100,605545,364.11
471,908474474,3696,2795882,43534203,499963441,33708,412981833,2,61,14342480105,23241,1192047984,66,18385162,noblob,6215,21878987,24,605545,296.64
471,501396329,676,864410533,38058854,125104145,26826,454814730,2,53,12100735498,26604,1967113150,66,33350922,minimal,6656,30761172,100,605545,362.02
471,533501151,584,864410533,43534203,321421267,63868,507075845,2,37,14179436059,26604,2547291868,66,33350922,noblob,2753,21878987,77,605545,360.46
471,533501151,676,864410533,41709086,419579828,85676,507075845,2,37,14179436059,19712,2547291868,66,33350922,noblob,2753,23087897,77,605545,351.37
594,908474474,2690,864410533,43534203,1071139858,77631,687909604,2,53,14342480105,26604,1745018606,93,33350922,noblob,2650,7799262,77,605545,300.17
471,501396329,676,864410533,38058854,125104145,26826,454814730,2,53,12100735498,26604,1745018606,66,33350922,noblob,2650,30761172,77,605545,357.03
409,527716055,676,864410533,43534203,419579828,85676,820159379,2,53,14342480105,26604,1745018606,66,33350922,noblob,700,21878987,77,547135,355.28
471,908474474,12356,864410533,43534203,93799813,85676,820159379,2,53,14342480105,26604,1745018606,53,37823834,noblob,647,28918850,77,605545,264.98
117,908474474,3142,864410533,43534203,419579828,85676,687909604,2,53,11621652687,26604,1745018606,121,32329429,noblob,2650,21878987,77,605545,297.96
471,908474474,676,864410533,43534203,106846871,85676,522778184,2,21,14342480105,26604,1745018606,98,55241176,noblob,4068,67256842,46,71277,352.56
471,908474474,2903,864410533,43534203,419579828,85676,397279494,0,53,14342480105,16819,1745018606,66,33350922,noblob,2650,21878987,77,503589,306.47
662,501396329,1010,864410533,43534203,125104145,26826,454814730,2,53,14342480105,26604,1745018606,66,33350922,minimal,4501,57232832,100,74484,322.62
950,501396329,676,864410533,91958533,419579828,8305,687909604,2,53,12100735498,23932,2263345629,66,33350922,minimal,4501,21878987,100,74484,356.88
471,908474474,797,864410533,58458902,223262706,45347,687909604,2,53,13140085778,21118,1745018606,66,33350922,minimal,3627,40160365,77,605545,343.51
471,908474474,676,864410533,43534203,419579828,85676,687909604,1,53,14342480105,21711,1745018606,66,33350922,noblob,2650,21878987,77,605545,313.49
532,669445715,1683,864410533,43534203,419579828,85676,555659828,2,53,14342480105,26604,1745018606,66,33350922,minimal,2650,21878987,77,664931,300.43
471,908474474,676,864410533,43534203,419579828,85676,687909604,2,53,14342480105,26604,1745018606,66,33350922,noblob,2650,21878987,77,605545,345.27
471,908474474,1604,864410533,46271877,93799813,85676,687909604,2,53,14342480105,23679,2118947141,66,30533356,noblob,2650,21878987,77,605545,304.31
