id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,workload
2295,0,all,3,1.8245416022471044,0,9,1,-5,40.323908075426026,0:0,none,0,338,1,hex,10,0,0,vbr,0,baseline,0.9859873526355616,22,7,9,2,67,0,42,0,1,1,Standard_720p_30fps_10s
971,0,all,3,1.8245416022471044,0,9,1,-5,40.323908075426026,0:0,none,0,338,1,hex,10,0,0,vbr,0,baseline,0.9859873526355616,22,7,9,2,67,0,42,0,1,1,Standard_720p_30fps_10s
76,1,p8x8,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,129,3,hex,44,1,1,vbr,0,high,0.5897158704772867,35,10,222,14,53,2,10,0,1,2,Standard_720p_30fps_10s
1881,1,p8x8,1,1.1644302425737592,2,14,1,5,38.687654164818326,2:-2,none,1,437,2,hex,44,0,1,none,0,baseline,0.5897158704772867,32,10,213,14,53,2,10,2,1,2,Standard_720p_30fps_10s
721,1,none,2,0.2647069182947271,1,9,0,-5,40.323908075426026,-2:2,spatial,0,450,4,dia,29,0,0,none,1,baseline,0.0784792835710588,21,8,141,7,3,5,63,2,1,2,Standard_720p_30fps_10s
721,1,none,2,0.2647069182947271,1,6,1,-5,40.323908075426026,-2:2,spatial,0,450,4,dia,29,0,0,none,1,baseline,0.0784792835710588,24,8,141,7,40,5,63,0,1,2,Standard_720p_30fps_10s
721,1,none,2,0.2647069182947271,1,9,0,-5,40.323908075426026,-2:2,spatial,0,450,4,dia,29,0,0,none,1,baseline,0.0784792835710588,21,8,141,7,40,5,63,2,1,2,Standard_720p_30fps_10s
1955,0,p8x8,3,0.6157864219350295,1,0,1,9,4.08007754083505,4:4,none,0,480,0,dia,45,1,0,none,0,baseline,0.8577477619777601,22,13,246,7,67,0,42,0,1,1,Standard_720p_30fps_10s
76,0,none,3,0.946410533372848,2,0,1,9,29.58495568862226,4:4,none,0,480,0,dia,45,1,0,none,0,baseline,0.8577477619777601,22,13,246,7,50,0,42,0,1,1,Standard_720p_30fps_10s
1955,1,none,3,0.6157864219350295,1,0,0,9,4.08007754083505,4:4,none,0,480,2,dia,45,1,0,none,0,baseline,0.8577477619777601,22,13,246,1,67,0,42,0,1,2,Standard_720p_30fps_10s
1955,0,p8x8,3,0.6157864219350295,2,0,1,9,4.08007754083505,4:4,none,0,480,0,dia,45,0,0,none,0,baseline,0.8577477619777601,22,13,246,7,67,0,42,0,1,1,Standard_720p_30fps_10s
