id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
335,1,none,1,0.8462092329152875,1,2,0,4,36.99427598043803,5:5,auto,1,157,3,tesa,47,0,0,vbr,0,main,0.7715765377130241,33,8,39,16,90,3,37,2,0,1,30.71
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,7,0,11,38.632211284256606,5:5,auto,0,5,1,tesa,28,0,1,cbr,0,baseline,0.5953676782928479,43,15,144,5,56,2,45,2,1,1,3.59
335,0,"p8x8,b8x8,i8x8,i4x4",1,0.8462092329152875,1,16,1,9,25.323031479078928,3:-3,auto,1,157,1,tesa,28,1,0,none,1,baseline,0.5953676782928479,21,16,241,16,56,2,45,2,1,1,124.76
335,0,p4x4,3,0.8462092329152875,2,16,1,11,38.632211284256606,4:-4,auto,1,291,0,tesa,28,0,1,none,0,baseline,0.5953676782928479,43,15,144,14,56,5,45,2,0,0,66.84
1735,0,"p8x8,b8x8,i8x8,i4x4",1,1.0529619027140331,1,5,0,4,37.6763688630988,5:5,auto,1,5,3,tesa,41,0,1,none,0,baseline,0.5179244081964828,43,15,144,5,55,2,58,2,1,2,3.59
335,0,"p8x8,b8x8,i8x8,i4x4",1,0.3941451517086615,1,5,0,4,37.6763688630988,5:5,auto,1,163,3,tesa,34,0,0,vbr,0,baseline,0.404552170659565,21,16,39,3,49,3,59,1,1,1,3.59
79,0,all,1,0.0356493261994928,1,5,1,9,48.24647630109335,5:5,temporal,1,5,3,esa,41,0,1,cbr,0,baseline,0.5179244081964828,43,15,144,5,55,10,53,2,1,2,24.2
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,7,0,11,38.632211284256606,3:-3,auto,1,157,1,tesa,28,0,0,none,1,baseline,0.5953676782928479,49,16,241,16,56,2,15,2,1,2,3.59
1271,0,all,1,0.9883589560143208,2,14,0,-12,39.19104779517417,6:6,auto,0,358,3,tesa,28,0,0,none,1,baseline,0.69907904796304,43,15,144,13,55,2,45,1,1,1,25.01
1735,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,0,11,38.632211284256606,4:-4,auto,1,268,2,umh,10,1,0,none,0,baseline,0.404552170659565,21,16,39,16,49,3,20,1,1,1,3.59
1937,0,p8x8,3,0.8462092329152875,2,14,1,9,32.33306222170616,5:5,auto,1,403,0,tesa,54,0,1,none,0,baseline,0.5953676782928479,43,15,144,10,56,2,17,2,0,1,192.76
79,0,all,0,0.9883589560143208,2,13,0,-12,23.06927638484674,5:5,auto,0,108,3,tesa,28,0,1,none,1,baseline,0.5953676782928479,43,7,144,6,56,3,59,2,1,1,249.96
2289,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,14,0,9,20.41563463271659,5:5,none,0,367,4,dia,11,0,0,none,0,baseline,0.5953676782928479,21,6,39,12,49,6,45,2,1,1,131.32
1735,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,1,11,38.632211284256606,4:-4,auto,1,65,0,tesa,28,0,1,none,0,baseline,0.5953676782928479,43,15,144,10,56,2,45,2,1,1,3.59
2289,0,all,1,0.9574783542099868,0,14,0,9,5.634771623297636,5:5,auto,0,5,3,tesa,10,0,0,none,0,baseline,0.2916855291062362,21,10,205,16,49,3,20,2,0,1,324.42
1937,0,"p8x8,b8x8,i8x8,i4x4",1,1.6133185016347154,0,16,1,9,32.33306222170616,5:5,spatial,1,5,3,tesa,10,0,0,vbr,0,baseline,0.8264614212937585,45,20,39,16,56,2,45,2,1,1,28.52
335,1,"p8x8,b8x8,i8x8,i4x4",1,1.99532290453396,1,10,0,9,25.323031479078928,5:5,auto,0,5,1,tesa,28,0,1,cbr,0,baseline,0.815564800595236,43,15,144,9,90,3,41,0,1,1,67.56
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,0,11,14.143334472605774,4:-4,auto,0,270,3,hex,38,0,0,vbr,0,baseline,0.6808282990153035,46,11,144,11,92,2,5,1,1,2,9.46
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,7,0,11,38.632211284256606,3:-3,auto,0,157,1,tesa,28,1,1,none,0,baseline,0.5953676782928479,21,16,241,2,56,2,1,2,1,1,56.06
2289,0,"p8x8,b8x8,i8x8,i4x4",1,0.8462092329152875,2,14,1,9,32.33306222170616,5:5,auto,1,5,4,tesa,10,0,0,vbr,0,baseline,0.8264614212937585,33,20,39,16,90,3,41,0,1,1,3.59
1937,1,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,14,0,9,20.41563463271659,5:5,none,0,449,0,dia,22,0,0,none,0,baseline,0.5953676782928479,21,6,78,12,49,3,59,1,1,1,131.32
1735,0,all,3,0.8462092329152875,1,16,0,11,38.632211284256606,4:-4,auto,1,457,2,umh,10,1,0,none,0,baseline,0.5757639265898421,21,16,39,16,49,3,45,2,0,2,31.96
1735,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,2,16,1,11,38.632211284256606,4:-4,auto,1,268,0,tesa,28,0,1,cbr,0,baseline,0.5953676782928479,43,15,139,10,56,2,20,1,1,2,7.28
2040,0,all,1,0.9883589560143208,2,14,0,-12,38.112605205204105,6:6,auto,1,358,3,tesa,16,0,0,vbr,0,baseline,0.6808282990153035,46,11,26,9,92,2,5,1,1,2,51.98
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,0,11,38.632211284256606,4:-4,spatial,1,268,3,hex,28,0,1,none,1,baseline,0.69907904796304,43,15,144,3,55,3,45,1,1,2,3.59
2289,0,all,1,0.9574783542099868,0,14,1,9,5.634771623297636,5:5,auto,0,5,3,tesa,10,0,0,none,0,baseline,0.69907904796304,43,15,144,13,55,2,45,1,1,2,11.53
79,0,all,1,0.9883589560143208,2,14,0,-12,38.112605205204105,-5:5,auto,0,102,3,dia,28,0,0,none,1,baseline,0.8431316721911933,21,16,205,16,42,3,20,2,1,1,4.68
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,7,0,-2,22.57296794844226,3:-3,auto,1,157,1,tesa,28,0,0,none,1,baseline,0.6808282990153035,46,11,144,9,92,2,5,1,1,1,3.59
1937,0,"p8x8,b8x8,i8x8,i4x4",2,0.8462092329152875,1,16,1,11,38.632211284256606,4:-4,auto,1,268,3,hex,63,0,0,vbr,0,baseline,0.5953676782928479,49,8,241,16,56,9,15,2,1,2,8.4
129,0,"p8x8,b8x8,i8x8,i4x4",1,0.8462092329152875,2,14,1,9,32.33306222170616,5:5,auto,1,5,3,tesa,10,0,0,vbr,0,baseline,0.8264614212937585,33,20,39,16,90,3,41,0,1,1,3.59
