Workload,Algorithm,r,Mean (Std),IQR
QF_LIA_tightrhombus,FEMOSAA,2.0,0.244 (0.126),0.003
QF_LIA_tightrhombus,SEED-EA,2.0,0.248 (0.152),0.000
QF_LIA_tightrhombus,DSOGA,1.0,0.231 (0.089),0.000
QF_LIA_tightrhombus,LiDOS,2.0,0.284 (0.228),0.000
QF_LIA_tightrhombus,OpperTune,2.0,0.282 (0.210),0.010
QF_LIA_tightrhombus,DLiSA,1.0,0.240 (0.125),0.000
QF_LIA_tightrhombus,DLiSA-B4,2.0,0.248 (0.152),0.000
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,FEMOSAA,1.0,8.749 (0.004),0.000
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,SEED-EA,1.0,8.808 (0.590),0.010
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DSOGA,1.0,8.748 (0.014),0.010
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,LiDOS,1.0,8.747 (0.005),0.010
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,OpperTune,1.0,8.763 (0.040),0.000
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA,1.0,8.747 (0.004),0.010
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-B4,1.0,8.747 (0.005),0.010
QF_NRA_hong_9.smt2,FEMOSAA,4.0,3.185 (0.005),0.010
QF_NRA_hong_9.smt2,SEED-EA,4.0,3.182 (0.004),0.000
QF_NRA_hong_9.smt2,DSOGA,2.0,3.181 (0.003),0.000
QF_NRA_hong_9.smt2,LiDOS,3.0,3.181 (0.003),0.000
QF_NRA_hong_9.smt2,OpperTune,4.0,3.187 (0.005),0.010
QF_NRA_hong_9.smt2,DLiSA,3.0,3.182 (0.004),0.000
QF_NRA_hong_9.smt2,DLiSA-B4,1.0,3.181 (0.003),0.000
QF_RDL_orb08_888.smt2,FEMOSAA,1.0,6.757 (0.202),0.112
QF_RDL_orb08_888.smt2,SEED-EA,1.0,6.821 (0.259),0.530
QF_RDL_orb08_888.smt2,DSOGA,1.0,6.816 (0.246),0.550
QF_RDL_orb08_888.smt2,LiDOS,1.0,6.823 (0.247),0.520
QF_RDL_orb08_888.smt2,OpperTune,2.0,6.834 (0.257),0.060
QF_RDL_orb08_888.smt2,DLiSA,1.0,6.802 (0.221),0.070
QF_RDL_orb08_888.smt2,DLiSA-B4,1.0,6.797 (0.225),0.103
QF_UFLIA_xs_23_43.smt2,FEMOSAA,2.0,8.013 (0.703),0.063
QF_UFLIA_xs_23_43.smt2,SEED-EA,3.0,8.125 (0.903),0.013
QF_UFLIA_xs_23_43.smt2,DSOGA,3.0,8.203 (1.270),0.070
QF_UFLIA_xs_23_43.smt2,LiDOS,2.0,8.069 (0.689),0.070
QF_UFLIA_xs_23_43.smt2,OpperTune,4.0,8.557 (1.596),0.053
QF_UFLIA_xs_23_43.smt2,DLiSA,2.0,7.987 (0.795),0.070
QF_UFLIA_xs_23_43.smt2,DLiSA-B4,1.0,7.888 (0.413),0.070
QF_UF_PEQ018_size6.smt2,FEMOSAA,1.0,3.901 (0.085),0.010
QF_UF_PEQ018_size6.smt2,SEED-EA,1.0,4.055 (1.520),0.020
QF_UF_PEQ018_size6.smt2,DSOGA,1.0,3.919 (0.211),0.020
QF_UF_PEQ018_size6.smt2,LiDOS,1.0,3.903 (0.153),0.020
QF_UF_PEQ018_size6.smt2,OpperTune,1.0,3.960 (0.231),0.010
QF_UF_PEQ018_size6.smt2,DLiSA,1.0,3.885 (0.044),0.020
QF_UF_PEQ018_size6.smt2,DLiSA-B4,1.0,3.890 (0.061),0.002
