Workload,Algorithm,r,Mean (Std),IQR
psd-small,DLiSA-B8,3.0,0.482 (0.015),0.02
psd-small,DLiSA-B9,3.0,0.485 (0.015),0.02
svg-large,DLiSA-B0,2.0,1.432 (0.009),0.01
svg-large,DLiSA-B1,1.0,1.432 (0.008),0.01
svg-large,DLiSA-B2,3.0,1.434 (0.009),0.01
svg-large,DLiSA-B3,2.0,1.433 (0.009),0.01
svg-large,DLiSA-B4,2.0,1.433 (0.009),0.01
svg-large,DLiSA-B,1.0,1.432 (0.009),0.01
svg-large,DLiSA-B6,2.0,1.433 (0.01),0.01
svg-large,DLiSA-B7,3.0,1.434 (0.01),0.01
svg-large,DLiSA-B8,3.0,1.436 (0.011),0.01
svg-large,DLiSA-B9,3.0,1.437 (0.009),0.01
svg-medium,DLiSA-B0,1.0,1.442 (0.017),0.01
svg-medium,DLiSA-B1,2.0,1.445 (0.016),0.02
svg-medium,DLiSA-B2,3.0,1.445 (0.015),0.01
svg-medium,DLiSA-B3,2.0,1.445 (0.016),0.012
svg-medium,DLiSA-B4,1.0,1.443 (0.018),0.01
svg-medium,DLiSA-B,1.0,1.444 (0.016),0.01
svg-medium,DLiSA-B6,2.0,1.444 (0.017),0.02
svg-medium,DLiSA-B7,3.0,1.446 (0.017),0.02
svg-medium,DLiSA-B8,3.0,1.449 (0.02),0.02
svg-medium,DLiSA-B9,3.0,1.448 (0.017),0.02
svg-small,DLiSA-B0,2.0,0.49 (0.007),0.01
svg-small,DLiSA-B1,1.0,0.489 (0.007),0.01
svg-small,DLiSA-B2,1.0,0.488 (0.007),0.01
svg-small,DLiSA-B3,1.0,0.489 (0.007),0.01
svg-small,DLiSA-B4,1.0,0.489 (0.007),0.01
svg-small,DLiSA-B,2.0,0.489 (0.007),0.01
svg-small,DLiSA-B6,2.0,0.489 (0.008),0.02
svg-small,DLiSA-B7,3.0,0.491 (0.008),0.013
svg-small,DLiSA-B8,2.0,0.491 (0.008),0.02
svg-small,DLiSA-B9,2.0,0.491 (0.008),0.013
