Workload,Algorithm,r,Mean (Std),IQR
fannie_mae_500k.tar,DLiSA-B4,1.0,11.379 (3.301),2.035
fannie_mae_500k.tar,DLiSA-B,1.0,11.288 (3.145),2.11
fannie_mae_500k.tar,DLiSA-B6,1.0,10.759 (2.809),1.872
fannie_mae_500k.tar,DLiSA-B7,1.0,11.696 (3.489),5.13
fannie_mae_500k.tar,DLiSA-B8,1.0,11.514 (3.208),4.3
fannie_mae_500k.tar,DLiSA-B9,2.0,11.934 (3.506),5.56
large.tar,DLiSA-B0,1.0,1.708 (0.453),0.882
large.tar,DLiSA-B1,1.0,1.686 (0.469),0.712
large.tar,DLiSA-B2,1.0,1.673 (0.448),0.75
large.tar,DLiSA-B3,1.0,1.683 (0.442),0.745
large.tar,DLiSA-B4,1.0,1.695 (0.447),0.74
large.tar,DLiSA-B,1.0,1.682 (0.45),0.78
large.tar,DLiSA-B6,1.0,1.605 (0.42),0.585
large.tar,DLiSA-B7,1.0,1.7 (0.435),0.72
large.tar,DLiSA-B8,1.0,1.693 (0.481),0.882
large.tar,DLiSA-B9,2.0,1.74 (0.452),0.872
misc.tar,DLiSA-B0,1.0,0.197 (0.014),0.02
misc.tar,DLiSA-B1,1.0,0.198 (0.014),0.01
misc.tar,DLiSA-B2,1.0,0.199 (0.014),0.01
misc.tar,DLiSA-B3,1.0,0.198 (0.012),0.01
misc.tar,DLiSA-B4,2.0,0.202 (0.015),0.02
misc.tar,DLiSA-B,1.0,0.198 (0.014),0.01
misc.tar,DLiSA-B6,2.0,0.2 (0.015),0.02
misc.tar,DLiSA-B7,2.0,0.201 (0.016),0.02
misc.tar,DLiSA-B8,2.0,0.2 (0.014),0.01
misc.tar,DLiSA-B9,2.0,0.2 (0.013),0.013
silesia.tar,DLiSA-B0,1.0,24.411 (6.322),6.915
silesia.tar,DLiSA-B1,1.0,24.274 (6.693),4.705
silesia.tar,DLiSA-B2,1.0,24.624 (6.483),6.825
silesia.tar,DLiSA-B3,1.0,24.658 (6.598),7.3
silesia.tar,DLiSA-B4,1.0,23.786 (5.863),5.088
silesia.tar,DLiSA-B,2.0,24.67 (6.542),6.55
silesia.tar,DLiSA-B6,1.0,23.195 (5.624),4.593
silesia.tar,DLiSA-B7,2.0,24.881 (6.819),7.03
silesia.tar,DLiSA-B8,1.0,24.198 (6.026),4.875
silesia.tar,DLiSA-B9,1.0,24.491 (6.515),6.898
uiq-32.bin,DLiSA-B0,2.0,22.565 (5.652),7.503
uiq-32.bin,DLiSA-B1,1.0,21.575 (5.628),6.025
uiq-32.bin,DLiSA-B2,1.0,21.685 (5.093),6.077
uiq-32.bin,DLiSA-B3,2.0,22.386 (5.951),6.578
uiq-32.bin,DLiSA-B4,1.0,21.507 (4.838),6.482
uiq-32.bin,DLiSA-B,2.0,22.608 (5.809),8.208
uiq-32.bin,DLiSA-B6,1.0,21.68 (5.334),6.47
uiq-32.bin,DLiSA-B7,2.0,22.747 (5.845),7.57
uiq-32.bin,DLiSA-B8,1.0,21.796 (5.421),5.778
uiq-32.bin,DLiSA-B9,2.0,22.404 (5.778),7.495
uiq2-16.bin,DLiSA-B0,1.0,10.863 (2.669),2.93
uiq2-16.bin,DLiSA-B1,1.0,10.579 (2.677),2.855
uiq2-16.bin,DLiSA-B2,2.0,11.054 (2.862),3.702
uiq2-16.bin,DLiSA-B3,1.0,10.954 (2.693),2.86
uiq2-16.bin,DLiSA-B4,1.0,10.862 (2.651),3.218
uiq2-16.bin,DLiSA-B,2.0,11.002 (2.867),3.773
uiq2-16.bin,DLiSA-B6,1.0,10.701 (2.886),2.94
uiq2-16.bin,DLiSA-B7,2.0,11.22 (2.899),4.905
uiq2-16.bin,DLiSA-B8,1.0,10.694 (2.637),3.135
uiq2-16.bin,DLiSA-B9,1.0,10.875 (2.96),3.1
uiq2-4.bin,DLiSA-B0,2.0,2.876 (0.71),0.872
uiq2-4.bin,DLiSA-B1,1.0,2.776 (0.784),0.74
uiq2-4.bin,DLiSA-B2,1.0,2.828 (0.754),0.81
uiq2-4.bin,DLiSA-B3,1.0,2.786 (0.715),0.73
uiq2-4.bin,DLiSA-B4,1.0,2.76 (0.642),0.74
uiq2-4.bin,DLiSA-B,2.0,2.903 (0.806),0.98
uiq2-4.bin,DLiSA-B6,1.0,2.729 (0.722),0.752
uiq2-4.bin,DLiSA-B7,2.0,2.877 (0.781),0.928
uiq2-4.bin,DLiSA-B8,2.0,2.857 (0.83),0.755
uiq2-4.bin,DLiSA-B9,1.0,2.843 (0.761),0.755
uiq2-8.bin,DLiSA-B0,2.0,5.548 (1.375),1.768
uiq2-8.bin,DLiSA-B1,1.0,5.289 (1.459),1.463
uiq2-8.bin,DLiSA-B2,2.0,5.343 (1.316),1.445
uiq2-8.bin,DLiSA-B3,2.0,5.491 (1.419),1.392
uiq2-8.bin,DLiSA-B4,2.0,5.307 (1.311),1.425
uiq2-8.bin,DLiSA-B,2.0,5.415 (1.455),1.612
uiq2-8.bin,DLiSA-B6,1.0,5.248 (1.317),1.44
uiq2-8.bin,DLiSA-B7,2.0,5.501 (1.503),1.492
uiq2-8.bin,DLiSA-B8,1.0,5.263 (1.348),1.392
uiq2-8.bin,DLiSA-B9,1.0,5.247 (1.269),1.423
vmlinux-5.10.tar,DLiSA-B0,2.0,3.042 (0.809),0.632
vmlinux-5.10.tar,DLiSA-B1,1.0,2.959 (0.714),0.54
vmlinux-5.10.tar,DLiSA-B2,2.0,3.032 (0.801),0.63
vmlinux-5.10.tar,DLiSA-B3,1.0,3.007 (0.728),0.633
vmlinux-5.10.tar,DLiSA-B4,1.0,2.894 (0.679),0.418
vmlinux-5.10.tar,DLiSA-B,1.0,2.996 (0.746),0.573
vmlinux-5.10.tar,DLiSA-B6,1.0,2.882 (0.678),0.462
vmlinux-5.10.tar,DLiSA-B7,1.0,2.993 (0.727),0.68
vmlinux-5.10.tar,DLiSA-B8,1.0,2.975 (0.741),0.54
vmlinux-5.10.tar,DLiSA-B9,1.0,2.984 (0.721),0.485
