Workload,Algorithm,r,Mean (Std),IQR
pedestrian_area_1080p25_short.y4m,DLiSA-B2,1.0,1.56 (0.279),0.252
pedestrian_area_1080p25_short.y4m,DLiSA-B3,1.0,1.54 (0.226),0.238
pedestrian_area_1080p25_short.y4m,DLiSA-B4,1.0,1.571 (0.283),0.268
pedestrian_area_1080p25_short.y4m,DLiSA-B,1.0,1.565 (0.281),0.26
pedestrian_area_1080p25_short.y4m,DLiSA-B6,1.0,1.553 (0.243),0.245
pedestrian_area_1080p25_short.y4m,DLiSA-B7,1.0,1.566 (0.279),0.275
pedestrian_area_1080p25_short.y4m,DLiSA-B8,1.0,1.547 (0.273),0.242
pedestrian_area_1080p25_short.y4m,DLiSA-B9,1.0,1.544 (0.252),0.248
riverbed_1080p25_short.y4m,DLiSA-B0,1.0,3.128 (0.383),0.325
riverbed_1080p25_short.y4m,DLiSA-B1,1.0,3.188 (0.453),0.438
riverbed_1080p25_short.y4m,DLiSA-B2,1.0,3.154 (0.434),0.385
riverbed_1080p25_short.y4m,DLiSA-B3,1.0,3.112 (0.394),0.28
riverbed_1080p25_short.y4m,DLiSA-B4,1.0,3.162 (0.427),0.442
riverbed_1080p25_short.y4m,DLiSA-B,1.0,3.187 (0.435),0.355
riverbed_1080p25_short.y4m,DLiSA-B6,1.0,3.181 (0.436),0.435
riverbed_1080p25_short.y4m,DLiSA-B7,1.0,3.186 (0.441),0.462
riverbed_1080p25_short.y4m,DLiSA-B8,1.0,3.151 (0.41),0.363
riverbed_1080p25_short.y4m,DLiSA-B9,1.0,3.19 (0.545),0.39
sd_bridge_close_cif_short.y4m,DLiSA-B0,1.0,0.098 (0.013),0.01
sd_bridge_close_cif_short.y4m,DLiSA-B1,1.0,0.099 (0.013),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B2,1.0,0.099 (0.013),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B3,1.0,0.098 (0.014),0.013
sd_bridge_close_cif_short.y4m,DLiSA-B4,1.0,0.098 (0.012),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B,1.0,0.099 (0.013),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B6,1.0,0.099 (0.013),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B7,1.0,0.1 (0.014),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B8,1.0,0.099 (0.011),0.02
sd_bridge_close_cif_short.y4m,DLiSA-B9,1.0,0.101 (0.013),0.02
sd_city_4cif_short.y4m,DLiSA-B0,2.0,0.552 (0.095),0.09
sd_city_4cif_short.y4m,DLiSA-B1,2.0,0.556 (0.097),0.11
sd_city_4cif_short.y4m,DLiSA-B2,2.0,0.559 (0.105),0.09
sd_city_4cif_short.y4m,DLiSA-B3,2.0,0.554 (0.097),0.103
sd_city_4cif_short.y4m,DLiSA-B4,2.0,0.563 (0.108),0.11
sd_city_4cif_short.y4m,DLiSA-B,1.0,0.549 (0.104),0.062
sd_city_4cif_short.y4m,DLiSA-B6,2.0,0.565 (0.104),0.123
sd_city_4cif_short.y4m,DLiSA-B7,2.0,0.554 (0.1),0.093
sd_city_4cif_short.y4m,DLiSA-B8,1.0,0.551 (0.102),0.08
sd_city_4cif_short.y4m,DLiSA-B9,1.0,0.544 (0.093),0.09
sd_crew_cif_short.y4m,DLiSA-B0,1.0,0.13 (0.017),0.01
sd_crew_cif_short.y4m,DLiSA-B1,1.0,0.132 (0.02),0.01
sd_crew_cif_short.y4m,DLiSA-B2,1.0,0.131 (0.017),0.01
sd_crew_cif_short.y4m,DLiSA-B3,1.0,0.131 (0.017),0.01
sd_crew_cif_short.y4m,DLiSA-B4,1.0,0.131 (0.017),0.01
sd_crew_cif_short.y4m,DLiSA-B,1.0,0.131 (0.016),0.01
sd_crew_cif_short.y4m,DLiSA-B6,1.0,0.132 (0.017),0.02
sd_crew_cif_short.y4m,DLiSA-B7,1.0,0.131 (0.018),0.01
sd_crew_cif_short.y4m,DLiSA-B8,1.0,0.131 (0.016),0.01
sd_crew_cif_short.y4m,DLiSA-B9,1.0,0.13 (0.018),0.01
sintel_trailer_2k_720p24_short.y4m,DLiSA-B0,1.0,0.236 (0.028),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B1,1.0,0.235 (0.026),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B2,1.0,0.238 (0.029),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B3,1.0,0.237 (0.029),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B4,1.0,0.235 (0.028),0.02
sintel_trailer_2k_720p24_short.y4m,DLiSA-B,1.0,0.237 (0.024),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B6,1.0,0.238 (0.028),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B7,1.0,0.237 (0.03),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B8,1.0,0.238 (0.028),0.03
sintel_trailer_2k_720p24_short.y4m,DLiSA-B9,1.0,0.236 (0.029),0.022
